,0
BRL,-7.172262464976834
NZD,-6.161981436620707
HUF,-6.1051189921864495
AUD,-4.739636622272104
KRW,-4.14275339610872
SEK,-4.067585410342394
JPY,-4.050961487284466
NOK,-3.7654312750218626
CLP,-2.8076033636984956
PLN,-2.450680634034738
MYR,-2.4174906486721595
KZT,-2.4148686259641132
ZAR,-2.27470347189907
CZK,-2.1748969363194655
RUB,-2.088703650955758
EUR,-1.978674548559365
DKK,-1.9645156380582711
RON,-1.9149350461935122
CAD,-1.6670033306800935
CHF,-1.3242639761761967
GBP,-1.3227685201938664
IDR,-1.1368996718102697
ARS,-0.7465526316801429
SGD,-0.4685603828914464
COP,-0.25325051405341314
THB,0.8470934795513285
EGP,0.9064809877018163
MXN,1.0364648355856871
VND,1.3029303275958892
PHP,1.4821138108153704
CNY,1.560671491712958
TRY,2.037598003620694
ISK,2.230660277816369
TWD,2.301400562289488
INR,3.53205687404052
UAH,4.139997481703045
KWD,4.488966178236354
PKR,5.116624990814275
AED,5.425787484263548
QAR,5.447894743621379
USD,5.447894743621879
SAR,5.4591395204536415
HKD,5.54761323783997
PEN,6.497563886360368
ILS,7.920219192408131
