Stock Name,Absolute Price,Ruble Price
Система ао,4.274065792019957,15.522
Аэрофлот,17.668415272270593,63.05
АЛРОСА ао,12.683078200040885,45.43
БСП ао,104.1294436198457,377.05
МКБ ао,1.8992426746254116,6.672
СевСт-ао,283.2208899316126,1011.0
Россети,0.018569750778872483,0.06662
ГАЗПРОМ ао,34.71541289713243,123.75
ГМКНорНик,29.78326021814942,105.9
РусГидро,0.12565512699179768,0.4499
ИнтерРАОао,0.8845404350503022,3.169
ЛУКОЙЛ,1710.438078599643,6070.0
ЛСР ао,209.04265724543217,743.8
ММК,9.14631604913564,32.895
МосБиржа,54.234085218669634,193.21
+МосЭнерго,0.5827889828401042,2.073
Мечел ао,24.120521926672325,86.13
Мечел ап,22.645354808724512,81.15
МТС-ао,54.2480811116293,196.1
М.видео,24.590783930116785,88.0
НЛМК ао,31.238833085953708,111.52
Новатэк ао,288.3713785407663,1034.4
ФосАгро ао,1690.7038695265271,6039.0
ПИК ао,170.24604196126387,622.2
Полюс,526.8054110014774,1878.0
Роснефть,119.41295873179081,421.8
Ростел -ао,16.100875260789046,58.48
Ростел -ап,16.683104407910765,59.7
РУСАЛ ао,8.321957953811863,29.8
Сбербанк,87.75424885704739,314.51
Сбербанк-п,87.12723285245477,312.01
Селигдар,11.882513122748522,42.49
Татнфт 3ао,178.92349559625103,629.6
Татнфт 3ап,171.67362304314884,611.2
ТГК-1,0.0017506062913938576,0.006256
Транснф ап,393.6764771692231,1402.6
ВТБ ао,27.040065198056705,95.8
